"card-featured__middle-section__header-badge","card-featured__middle-section__price","card-featured__middle-section__installment","attribute-text","attribute-text 2","attribute-info 2","attribute-info 4","card-featured__middle-section 3"
"Rumah","Rp 1 Miliar","Cicilan: 3 Jutaan per bulan","2","1","53 m²","67 m²","Luas Tanah 53 m² Luas Bangunan 67 m² Kamar Tidur 2 Kamar Mandi 1 harga mulai 1 M Selling point. Lokasi..."
"Rumah","Rp 1,45 Miliar","Cicilan: 5 Jutaan per bulan","4","3","120 m²","160 m²","*Sedang Proses Renove* HOT DEAL!!! DIJUAL CEPAT RUMAH BARU RENOVE PINUS REGENSI SOEKARNO HATTA Luas..."
"Rumah","Rp 750 Juta","Cicilan: 2 Jutaan per bulan","3","1","100 m²","85 m²","DIJUAL RUMAH SIAP HUNI DI CINAMBO LUAS TANAH 100 M² LUAS BANGUNAN 85 M² KAMAR TIDUR 3 KAMAR MANDI..."
"Rumah","Rp 800 Juta","Cicilan: 3 Jutaan per bulan","3","1","100 m²","85 m²","Rumah Luas Siap Huni di Komplek Daerah Cinambo Luas Tanah 100 Hanya 800 Juta Spesifikasi : Bangunan..."
"Rumah","Rp 825 Juta","Cicilan: 3 Jutaan per bulan","2","1","96 m²","80 m²","DIJUAL Rumah Lokasi Strategis di Komplek Mulya Golf Residence Bandung Spesifikasi : Sertifikat :..."
"Rumah","Rp 900 Juta","Cicilan: 3 Jutaan per bulan","3","2","150 m²","130 m²","Di Jual Rumah Siap Huni dalam Komplek Cisaranten Wetan kecamatan cinambo Kota Bandung Luas Tanah..."
"Rumah","Rp 1 Miliar","Cicilan: 3 Jutaan per bulan","3","2","100 m²","180 m²","Rumah 2 Lantai Cinambo Indah SIAP HUNI dekat Mizan Soekarno Hatta, Semi Furnished, Full Kayu Jati,..."
"Rumah","Rp 895 Juta","Cicilan: 3 Jutaan per bulan","2","1","136 m²","90 m²","Dijual rumah 800jutaan harga dibawah NJOP di Pinus Regency Bandung Spesifikasi : Luas tanah 136 M2..."
"Rumah","Rp 1,55 Miliar","Cicilan: 5 Jutaan per bulan","4","3","180 m²","92 m²","SPEK: SHM 1/2 keblkng 2 lt LT 180 LB 92 (disertifikat) LB renov l.k. 150 KT 4 (trmsk kmr TDR utama)..."
"Rumah","Rp 1,55 Miliar","Cicilan: 5 Jutaan per bulan","4","3","180 m²","92 m²","SPEK: SHM 1/2 keblkng 2 lt LT 180 LB 92 (disertifikat) LB renov l.k. 150 KT 4 (trmsk kmr TDR utama)..."
"Rumah","Rp 1,25 Miliar","Cicilan: 4 Jutaan per bulan","2","2","110 m²","80 m²","Rumah Baru Di Pinus Regency Bandung Spesifikasi : > Jumlah Lantai : 1 Lantai > Luas Tanah : 110 m2..."
"Rumah","Rp 785 Juta","Cicilan: 3 Jutaan per bulan","2","1","75 m²","45 m²","Perumahan Cisaranten, Cinambo, Kota Bandung Spesifikasi : Luas tanah 76 Luas bangunan 45 2 kamar..."
"Rumah","Rp 926 Juta","Cicilan: 3 Jutaan per bulan","2","1","81 m²","55 m²","Dijual Rumah Cantik Di Cisaranten Bandung,BUDijual Rumah Cantik Di Cisaranten Bandung,BUDijual Rumah..."
"Rumah","Rp 970 Juta","Cicilan: 3 Jutaan per bulan","2","2","123 m²","90 m²","FOR SALE, Rumah Terawat Strategis di Komplek Cisaranten Kulon Arcamanik Bandung , Lingkungan tenang..."
"Rumah","Rp 770 Juta","Cicilan: 2 Jutaan per bulan","2","1","72 m²","50 m²","Lebar muka 6m Ada tandon air 2 Ada filter air Air sumersible..."
"Rumah","Rp 750 Juta","Cicilan: 2 Jutaan per bulan","3","1","100 m²","85 m²","DIJUAL RUMAH SIAP HUNI DI CINAMBO LUAS TANAH 100 M² LUAS BANGUNAN 85 M² KAMAR TIDUR 3 KAMAR MANDI..."
"Apartemen","Rp 295 Juta","Cicilan: 1 Jutaan per bulan","2","1","37 m²","","Dijual Apartemen Taman Sari Panoramic Tower A lt 12 Luas 37,2m² Tipe 2BR 1 Kamar mandi Dapur 2200..."
"Rumah","Rp 1,97 Miliar","Cicilan: 7 Jutaan per bulan","2","2","339 m²","117 m²","Rumah dengan lokasi yang strategis di main road selebar -/+ 5 meter, berbahan beton bagus. Banyak..."
"Rumah","Rp 1,5 Miliar","Cicilan: 5 Jutaan per bulan","5","4","126 m²","120 m²","For Sale Rumah terawat siap huni Pinus regency.( Cinambo- Bandung timur ) Rumah 2 lantai Legalitas..."
"Rumah","Rp 900 Juta","Cicilan: 3 Jutaan per bulan","2","1","136 m²","70 m²","Dijual rumah di dalam kompleks Pinus Regency kota Bandung. Lingkungan aman, nyaman dan asri. Sangat..."
